"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 26 17:04:02 BRT 2026","Sun Jul 26 17:04:02 BRT 2026","0","","LoginTests","","","","Login_WithOnlyEmailFilled_ShowsValidationError",""
"passed","Sun Jul 26 17:10:15 BRT 2026","Sun Jul 26 17:10:15 BRT 2026","0","","RegistrationTests","","","","Register_WithSpecialCharactersInFullName_Succeeds",""
"passed","Sun Jul 26 17:07:08 BRT 2026","Sun Jul 26 17:07:08 BRT 2026","1","","LogoutTests","","","","Logout_ThenRegisteringSameEmailAgain_ShowsAccountAlreadyExistsError",""
"passed","Sun Jul 26 17:05:04 BRT 2026","Sun Jul 26 17:05:04 BRT 2026","0","","LogoutTests","","","","Logout_AfterPerformingSearch_StillReturnsToLoginScreen",""
"passed","Sun Jul 26 17:09:23 BRT 2026","Sun Jul 26 17:09:23 BRT 2026","0","","RegistrationTests","","","","Register_WithEmptyFields_ShowsValidationError",""
"passed","Sun Jul 26 17:03:28 BRT 2026","Sun Jul 26 17:03:28 BRT 2026","0","","LoginTests","","","","Login_WithEmptyFields_ShowsValidationError",""
"passed","Sun Jul 26 17:13:23 BRT 2026","Sun Jul 26 17:13:23 BRT 2026","0","","WeatherSearchTests","","","","Search_WithWhitespaceOnlyQuery_ShowsNoSuggestions",""
"passed","Sun Jul 26 17:08:33 BRT 2026","Sun Jul 26 17:08:33 BRT 2026","0","","LogoutTests","","","","Logout_ThenRelaunchApp_SessionDoesNotPersist_ShowsLoginScreen",""
"passed","Sun Jul 26 17:03:04 BRT 2026","Sun Jul 26 17:03:04 BRT 2026","0","","LoginTests","","","","Login_AfterLogout_WithSameCredentials_Succeeds",""
"passed","Sun Jul 26 17:10:47 BRT 2026","Sun Jul 26 17:10:47 BRT 2026","0","","WeatherSearchTests","","","","Search_NonExistentPlace_ShowsNoSuggestions",""
"passed","Sun Jul 26 17:08:50 BRT 2026","Sun Jul 26 17:08:50 BRT 2026","0","","RegistrationTests","","","","Register_ThenLogin_WithNewCredentials_Succeeds",""
"passed","Sun Jul 26 17:13:04 BRT 2026","Sun Jul 26 17:13:04 BRT 2026","0","","WeatherSearchTests","","","","Search_WithNumericQuery_ShowsNoSuggestions",""
"passed","Sun Jul 26 17:04:37 BRT 2026","Sun Jul 26 17:04:37 BRT 2026","0","","LoginTests","","","","Login_WithValidCredentials_NavigatesToLandingScreen",""
"passed","Sun Jul 26 17:05:22 BRT 2026","Sun Jul 26 17:05:22 BRT 2026","0","","LogoutTests","","","","Logout_FromSettings_ReturnsToLoginScreen",""
"passed","Sun Jul 26 17:05:45 BRT 2026","Sun Jul 26 17:05:45 BRT 2026","0","","LogoutTests","","","","Logout_ThenLoginAgain_WithSameCredentials_Succeeds",""
